epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.9443,0.62571,0.83,1,0.42313,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847,0.00164054,0.000546847
2,24.2254,0.25789,0.942,1,0.15864,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794,0.00314382,0.00104794
3,34.5739,0.07815,1,1,0.02357,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402,0.00448206,0.00149402
4,45.35,0.03923,1,1,0.00459,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945,0.00425835,0.00141945
5,58.0934,0.0235,1,1,0.0026,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693,0.0040108,0.00133693
6,71.8889,0.01933,0.998,1,0.0077,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442,0.00376325,0.00125442
7,83.1697,0.01878,1,1,0.00164,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719,0.0035157,0.0011719
8,95.0484,0.01973,1,1,0.00614,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938,0.00326815,0.00108938
9,104.772,0.01182,1,1,0.00085,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687,0.0030206,0.00100687
10,110.92,0.01349,1,1,0.00074,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352,0.00277305,0.000924352
